id,sexo,edad_cat,region,nivel_educativo,imagen
1114,masculino,16-29,Región Pampeana,prim,positiva
1115,masculino,16-29,Región NOA,sec,positiva
1116,femenino,16-29,Región Metropolitana,prim,positiva
1117,masculino,16-29,Región NOA,prim,negativa
1118,femenino,16-29,Región Metropolitana,prim,positiva
1119,femenino,30-44,Región Metropolitana,terc,negativa
1120,masculino,30-44,Región NEA,univ,negativa
1121,femenino,30-44,Región Metropolitana,pos,positiva
1122,femenino,60+,Región Metropolitana,sec,positiva
1123,femenino,30-44,Región Pampeana,univ,positiva
1124,femenino,30-44,Región Pampeana,prim,negativa
1125,femenino,30-44,Región Pampeana,prim,positiva
1126,masculino,16-29,Región Cuyo,prim,positiva
1127,femenino,45-59,Región Pampeana,sec,positiva
1128,masculino,16-29,Región Metropolitana,sec,negativa
1129,masculino,16-29,Región NOA,sec,positiva
1130,femenino,16-29,Región Pampeana,sec,positiva
1131,femenino,16-29,Región Metropolitana,prim,negativa
1132,masculino,16-29,Región Pampeana,prim,positiva
1133,femenino,30-44,Región Metropolitana,prim,negativa
1134,femenino,16-29,Región Metropolitana,sec,positiva
1135,femenino,16-29,Región NOA,sec,negativa
1136,femenino,30-44,Región Metropolitana,prim,positiva
1137,femenino,16-29,Región NOA,pos,negativa
1138,femenino,30-44,Región Metropolitana,sec,positiva
1139,masculino,30-44,Región Pampeana,sec,positiva
1140,femenino,16-29,Región NEA,prim,positiva
1141,femenino,30-44,Región NOA,sec,positiva
1142,masculino,30-44,Región NOA,sec,positiva
1143,femenino,16-29,Región Metropolitana,sec,negativa
1144,femenino,45-59,Región Metropolitana,prim,positiva
1145,masculino,60+,Región Metropolitana,sec,positiva
1146,masculino,16-29,Región Pampeana,sec,positiva
1147,masculino,16-29,Región Metropolitana,sec,positiva
1148,femenino,30-44,Región NOA,univ,negativa
1149,masculino,45-59,Región Metropolitana,sec,negativa
1150,masculino,45-59,Región Pampeana,sec,positiva
1151,femenino,45-59,Región Metropolitana,sec,positiva
1152,masculino,16-29,Región NEA,univ,positiva
1153,femenino,30-44,Región Pampeana,prim,negativa
1154,masculino,45-59,Región Metropolitana,sec,positiva
1155,femenino,45-59,Región NOA,prim,negativa
1156,masculino,60+,Región Metropolitana,pos,positiva
1157,masculino,60+,Región Metropolitana,sec,negativa
1158,femenino,60+,Región Metropolitana,sec,positiva
1159,femenino,30-44,Región Metropolitana,sec,positiva
1160,masculino,45-59,Región Metropolitana,pos,positiva
1161,masculino,30-44,Región Metropolitana,prim,negativa
1162,femenino,30-44,Región Metropolitana,sec,positiva
1163,femenino,30-44,Región Pampeana,sec,positiva
1164,masculino,30-44,Región NEA,prim,positiva
1165,femenino,16-29,Región Metropolitana,sec,negativa
1166,masculino,45-59,Región Metropolitana,sec,positiva
1167,masculino,30-44,Región Pampeana,sec,positiva
1168,masculino,30-44,Región Pampeana,sec,positiva
1169,masculino,30-44,Región Metropolitana,univ,negativa
1170,masculino,16-29,Región NOA,univ,positiva
1171,femenino,30-44,Región NOA,sec,negativa
1172,masculino,30-44,Región Metropolitana,prim,positiva
1173,masculino,30-44,Región Pampeana,prim,negativa
1174,femenino,16-29,Región Metropolitana,prim,negativa
1175,masculino,30-44,Región Metropolitana,univ,negativa
1176,femenino,30-44,Región Metropolitana,terc,negativa
1177,masculino,30-44,Región NEA,terc,positiva
1178,femenino,30-44,Región Metropolitana,sec,positiva
1179,femenino,16-29,Región Pampeana,sec,positiva
1180,femenino,60+,Región Metropolitana,prim,negativa
1181,masculino,45-59,Región Metropolitana,sec,positiva
1182,masculino,45-59,Región Patagonia,sec,negativa
1183,femenino,16-29,Región Metropolitana,terc,negativa
1184,masculino,60+,Región Metropolitana,prim,positiva
1185,femenino,45-59,Región Cuyo,sec,positiva
1186,masculino,45-59,Región Metropolitana,sec,positiva
1187,masculino,30-44,Región NOA,terc,positiva
1188,masculino,45-59,Región Metropolitana,sec,negativa
1189,masculino,30-44,Región Metropolitana,univ,negativa
1190,femenino,16-29,Región Metropolitana,sec,positiva
1191,femenino,16-29,Región Metropolitana,univ,positiva
1192,femenino,30-44,Región Metropolitana,sec,negativa
1193,femenino,16-29,Región Metropolitana,sec,positiva
1194,masculino,16-29,Región Pampeana,prim,positiva
1195,masculino,16-29,Región Metropolitana,prim,positiva
1196,femenino,16-29,Región Metropolitana,sec,positiva
1197,femenino,30-44,Región Metropolitana,sec,positiva
1198,femenino,30-44,Región Cuyo,terc,positiva
1199,femenino,16-29,Región Pampeana,prim,positiva
1200,masculino,30-44,Región Pampeana,sec,negativa
